DataLog Process File
DataLog Type : 1
File Version : V1.00
Total Header Lines : 13
Log Interval Time : 5
RUN ID : GB170723163042
Recipe : PDHPDCA350C.REC
Tool Mode : DRY,1,0,0,1
Diff Fill PID : 14.0, 120.0, 0.3
Diff Vent PID : 20.0, 92.0, 0.5
Tube Vent PID : 16.0, 32.0, 4.0
Tube Down PID : 18.0, 50.0, 4.0
Date, Time, DiffPrs, TubPrs, ShlPrs, TbPrsSetPt, TubVentLCV, ShlVentLCV, ShlFillLCV, N2SetPt, N2Actual, H2SetPt, H2Actual, O2SetPt, O2Actual, D2SetPt, D2Actual, DISetPt, D.Valve, N2Delivery, H2Delivery, O2Delivery, D2Delivery, ShellDeliv, SolenDeliv, MTopSetPt, MMidSetPt, MBotSetPt, MBufSetPt, PTopSetPt, PSidSetPt, MTopPrTmp, MMidPrTmp, MBotPrTmp, MTopSpTmp, MMidSpTmp, MBotSpTmp, MBufTmp, PTopTmp, PSidTmp, MainTopS1, MainTopS2, MainMidS1, MainMidS2, MainBotS1, MainBotS2, MainBuf1, MainBuf2, PlugTop1, PlugTop2, PlugSide1, PlugSide2, MainTopP1, MainTopP2, MainMidP1, MainMidP2, MainBotP1, MainBotP2, MTopPower, MMidPower, MBotPower, MBufPower, PTopPower, PSidPower, EnvTopTemp, EnvBtmTemp, StmOutTemp, CoolWafer1, CoolWafer2, CoolWafer3, CoolWafer4, CoolWafer5, CoolWafer6, Step #
2017/07/23, 16:50:15, 0.2, 0.1, 0.1, 0.0, 100.0, 100.0, 0.0, 5.0, 5.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 405.1, -10.0, -10.0, 409.7, 403.6, 89.5, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 341.3, 327.1, 303.1, 349.1, 349.0, 349.9, 349.6, 275.2, 275.5, 349.1, 349.9, 349.0, 348.9, 349.9, 350.3, 348.7, 349.7, 275.3, 275.2, 275.4, 273.6, 341.3, 340.1, 327.1, 326.8, 303.1, 302.5, 35.6, 17.6, 15.3, 33.7, 5.0, 2.9, 21.6, 29.2, 22.8, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:20, 0.2, -0.1, 0.1, 0.0, 100.0, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 405.4, -10.0, -10.0, 409.7, 403.6, 90.1, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 341.0, 326.7, 302.8, 349.0, 349.1, 349.9, 349.4, 275.2, 275.5, 349.0, 349.7, 349.1, 349.0, 349.9, 350.3, 348.4, 349.4, 275.3, 275.2, 275.5, 273.6, 341.0, 339.8, 326.7, 326.5, 302.8, 302.2, 32.1, 14.9, 15.4, 42.1, 4.9, 2.5, 21.6, 29.2, 23.0, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:25, 0.2, -0.1, 0.1, 0.0, 100.0, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 405.4, -10.0, -10.0, 409.7, 403.6, 90.3, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 340.7, 326.5, 302.4, 349.0, 349.1, 349.9, 349.1, 275.2, 275.6, 349.0, 349.7, 349.1, 349.1, 349.9, 350.3, 348.2, 349.2, 275.3, 275.2, 275.6, 273.7, 340.7, 339.5, 326.5, 326.2, 302.4, 301.8, 28.3, 15.7, 15.4, 46.2, 4.9, 1.6, 21.6, 29.2, 22.8, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:30, 0.2, -0.1, 0.1, 0.0, 97.3, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 405.4, -10.0, -10.0, 409.7, 403.6, 90.5, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 340.4, 326.2, 302.0, 348.9, 349.1, 349.9, 349.0, 275.2, 275.7, 348.9, 349.7, 349.1, 349.1, 349.9, 350.3, 347.9, 349.0, 275.3, 275.2, 275.7, 273.7, 340.4, 339.2, 326.2, 325.9, 302.0, 301.4, 29.4, 16.5, 15.5, 47.7, 4.8, 0.8, 21.6, 29.2, 22.8, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:35, 0.2, -0.1, 0.1, 0.0, 97.2, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 404.5, -10.0, -10.0, 409.7, 403.6, 90.6, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 340.0, 326.0, 301.6, 348.9, 349.2, 349.9, 348.8, 275.2, 275.7, 348.9, 349.7, 349.2, 349.1, 349.9, 350.3, 347.8, 348.8, 275.3, 275.2, 275.7, 273.7, 340.0, 338.8, 326.0, 325.7, 301.6, 301.1, 27.7, 13.9, 15.6, 47.6, 4.8, 1.7, 21.6, 29.2, 22.8, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:40, 0.2, -0.1, 0.1, 0.0, 96.9, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 404.5, -10.0, -10.0, 409.7, 403.6, 90.5, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 339.8, 325.7, 301.2, 348.9, 349.2, 349.9, 348.7, 275.2, 275.7, 348.9, 349.7, 349.2, 349.2, 349.9, 350.3, 347.7, 348.7, 275.3, 275.2, 275.7, 273.7, 339.8, 338.5, 325.7, 325.5, 301.2, 300.7, 26.7, 15.5, 15.8, 53.4, 4.7, 2.2, 21.6, 29.2, 22.8, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:45, 3.6, -0.1, 2.2, 0.0, 96.7, 0.0, 26.8, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 404.5, -10.0, -10.0, 409.7, 402.8, 89.5, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 339.6, 325.6, 301.0, 349.0, 349.4, 349.9, 348.6, 275.2, 275.7, 349.0, 349.8, 349.4, 349.3, 349.9, 350.3, 347.5, 348.6, 275.3, 275.2, 275.7, 273.8, 339.6, 338.4, 325.6, 325.3, 301.0, 300.5, 21.6, 10.5, 15.8, 55.0, 4.7, 2.3, 21.5, 29.1, 23.0, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:50, 4.0, 0.1, 3.8, 0.0, 99.1, 0.0, 8.7, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 404.5, -10.0, -10.0, 409.7, 402.8, 90.1, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 339.2, 325.3, 300.6, 349.1, 349.4, 350.0, 348.7, 275.3, 275.6, 349.1, 349.9, 349.4, 349.3, 350.0, 350.3, 347.5, 348.7, 275.4, 275.3, 275.6, 273.7, 339.2, 338.0, 325.3, 325.1, 300.6, 300.1, 20.3, 13.4, 11.0, 47.7, 4.3, 4.1, 21.6, 29.1, 23.0, 20.8, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/23, 16:50:55, 4.3, 0.1, 4.1, 0.0, 99.2, 0.0, 4.8, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 404.5, -10.0, -10.0, 409.7, 402.8, 89.8, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 339.0, 325.2, 300.4, 349.1, 349.4, 350.0, 348.7, 275.3, 275.6, 349.1, 349.9, 349.4, 349.4, 350.0, 350.3, 347.5, 348.7, 275.4, 275.3, 275.6, 273.7, 339.0, 337.8, 325.2, 324.9, 300.4, 299.8, 22.4, 14.4, 13.1, 50.9, 4.4, 3.3, 21.6, 29.1, 23.0, 20.8, 25.0, 24.9, 20.5, 19.0, 18.3, 0
2017/07/23, 16:51:00, 4.4, 0.1, 4.4, 0.0, 99.4, 0.0, 3.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 404.5, -10.0, -10.0, 409.7, 402.8, 90.0, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 338.8, 325.1, 300.1, 349.1, 349.5, 350.0, 348.8, 275.3, 275.5, 349.1, 349.9, 349.5, 349.4, 350.0, 350.3, 347.6, 348.8, 275.4, 275.3, 275.5, 273.6, 338.8, 337.6, 325.1, 324.9, 300.1, 299.6, 24.0, 12.5, 14.1, 47.8, 4.4, 3.7, 21.7, 29.2, 23.0, 20.8, 25.0, 24.9, 20.5, 19.0, 18.3, 0
