DataLog Process File
DataLog Type : 1
File Version : V1.00
Total Header Lines : 13
Log Interval Time : 5
RUN ID : GB170724041028
Recipe : N2-PURGE600.REC
Tool Mode : DRY,1,0,0,1
Diff Fill PID : 14.0, 120.0, 0.3
Diff Vent PID : 20.0, 92.0, 0.5
Tube Vent PID : 16.0, 32.0, 4.0
Tube Down PID : 18.0, 50.0, 4.0
Date, Time, DiffPrs, TubPrs, ShlPrs, TbPrsSetPt, TubVentLCV, ShlVentLCV, ShlFillLCV, N2SetPt, N2Actual, H2SetPt, H2Actual, O2SetPt, O2Actual, D2SetPt, D2Actual, DISetPt, D.Valve, N2Delivery, H2Delivery, O2Delivery, D2Delivery, ShellDeliv, SolenDeliv, MTopSetPt, MMidSetPt, MBotSetPt, MBufSetPt, PTopSetPt, PSidSetPt, MTopPrTmp, MMidPrTmp, MBotPrTmp, MTopSpTmp, MMidSpTmp, MBotSpTmp, MBufTmp, PTopTmp, PSidTmp, MainTopS1, MainTopS2, MainMidS1, MainMidS2, MainBotS1, MainBotS2, MainBuf1, MainBuf2, PlugTop1, PlugTop2, PlugSide1, PlugSide2, MainTopP1, MainTopP2, MainMidP1, MainMidP2, MainBotP1, MainBotP2, MTopPower, MMidPower, MBotPower, MBufPower, PTopPower, PSidPower, EnvTopTemp, EnvBtmTemp, StmOutTemp, CoolWafer1, CoolWafer2, CoolWafer3, CoolWafer4, CoolWafer5, CoolWafer6, Step #
2017/07/24, 04:11:31, 0.2, -0.1, 0.1, 0.0, 100.0, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.0, 404.5, 89.5, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.0, 342.3, 333.9, 350.0, 350.1, 350.1, 350.0, 275.1, 280.2, 350.0, 350.3, 350.0, 349.8, 350.1, 350.2, 349.9, 349.9, 275.0, 275.1, 280.2, 280.0, 346.9, 345.7, 342.3, 342.1, 333.8, 333.3, 10.4, 4.5, 2.3, 7.3, 0.5, 0.0, 21.3, 29.6, 21.8, 21.0, 25.0, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:11:36, 0.2, -0.1, 0.1, 0.0, 100.0, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.3, 404.5, 89.7, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.0, 342.3, 334.0, 350.0, 350.1, 350.1, 349.9, 275.1, 280.2, 350.0, 350.3, 350.1, 349.9, 350.1, 350.2, 349.9, 349.9, 275.0, 275.1, 280.2, 280.1, 347.0, 345.7, 342.3, 342.1, 333.9, 333.4, 10.3, 4.3, 4.3, 15.8, 0.5, 0.0, 21.3, 29.6, 21.8, 21.0, 25.0, 24.9, 20.5, 19.0, 18.2, 0
2017/07/24, 04:11:41, 0.2, -0.1, 0.1, 0.0, 100.0, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.1, 404.5, 89.8, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.0, 342.4, 334.0, 350.0, 350.1, 350.1, 350.0, 275.1, 280.2, 350.0, 350.3, 350.1, 349.8, 350.1, 350.2, 349.9, 350.0, 275.0, 275.1, 280.2, 280.1, 347.0, 345.8, 342.4, 342.1, 334.0, 333.5, 10.2, 3.9, 4.8, 9.9, 0.4, 0.0, 21.2, 29.6, 21.8, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:11:46, 0.2, -0.1, 0.1, 0.0, 48.8, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.8, 404.5, 90.0, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.0, 342.4, 334.1, 350.0, 350.0, 350.1, 350.0, 275.1, 280.3, 350.0, 350.3, 350.0, 349.8, 350.1, 350.2, 349.9, 350.0, 275.0, 275.1, 280.2, 280.1, 347.0, 345.8, 342.4, 342.2, 334.0, 333.5, 10.2, 7.2, 4.8, 11.8, 0.4, 0.0, 21.2, 29.6, 21.8, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:11:51, 0.2, -0.1, 0.1, 0.0, 48.6, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.0, 404.5, 90.1, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.0, 342.5, 334.2, 350.0, 350.0, 350.1, 350.0, 275.1, 280.3, 350.0, 350.3, 350.1, 349.8, 350.1, 350.2, 349.9, 350.0, 275.0, 275.1, 280.3, 280.1, 347.0, 345.8, 342.5, 342.2, 334.1, 333.6, 10.1, 3.4, 4.8, 12.1, 0.4, 0.0, 21.2, 29.6, 21.8, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:11:56, 0.2, -0.1, 0.1, 0.0, 48.3, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.3, 404.5, 90.2, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.1, 342.5, 334.3, 350.0, 350.0, 350.0, 350.0, 275.1, 280.3, 350.0, 350.3, 350.0, 349.8, 350.0, 350.1, 349.9, 350.0, 275.0, 275.1, 280.3, 280.2, 347.0, 345.9, 342.5, 342.3, 334.2, 333.7, 10.1, 6.4, 12.1, 12.2, 0.4, 0.0, 21.2, 29.6, 21.8, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:12:01, 3.7, -0.1, 2.9, 0.0, 48.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 405.5, -10.0, -10.0, 408.0, 403.6, 89.3, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.0, 342.5, 334.4, 350.1, 350.1, 350.1, 349.9, 275.1, 280.3, 350.1, 350.4, 350.1, 349.9, 350.1, 350.2, 349.9, 349.9, 275.1, 275.1, 280.3, 280.1, 347.0, 345.8, 342.5, 342.4, 334.3, 333.8, 4.7, 3.4, 1.6, 17.4, 0.4, 0.0, 21.2, 29.6, 21.8, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:12:06, 4.0, -0.1, 3.8, 0.0, 47.9, 0.0, 8.3, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 405.4, -10.0, -10.0, 408.4, 404.5, 90.3, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.1, 342.5, 334.4, 350.2, 350.1, 350.1, 350.0, 275.1, 280.2, 350.2, 350.5, 350.1, 349.9, 350.1, 350.2, 349.9, 350.0, 275.1, 275.1, 280.2, 280.1, 347.1, 345.9, 342.5, 342.4, 334.4, 333.9, 2.6, 4.2, 3.7, 9.2, 0.4, 0.0, 21.3, 29.7, 22.0, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:12:11, 4.3, -0.1, 4.1, 0.0, 47.6, 0.0, 4.7, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.0, -10.0, -10.0, 408.0, 404.5, 89.8, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.1, 342.6, 334.5, 350.2, 350.1, 350.1, 350.0, 275.2, 280.2, 350.2, 350.5, 350.1, 349.9, 350.1, 350.1, 349.9, 350.0, 275.1, 275.2, 280.2, 280.1, 347.1, 345.9, 342.6, 342.5, 334.5, 334.0, 5.6, 4.6, 4.2, 11.8, 0.0, 0.0, 21.3, 29.7, 22.0, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
2017/07/24, 04:12:16, 4.5, -0.1, 4.3, 0.0, 47.4, 0.0, 2.4, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0, 406.2, -10.0, -10.0, 408.2, 404.5, 90.1, 350.0, 350.0, 350.0, 350.0, 275.0, 275.0, 347.1, 342.7, 334.6, 350.2, 350.1, 350.0, 350.1, 275.2, 280.2, 350.2, 350.5, 350.1, 349.9, 350.0, 350.1, 350.0, 350.1, 275.1, 275.2, 280.2, 280.1, 347.1, 345.9, 342.6, 342.5, 334.5, 334.0, 6.9, 4.8, 10.4, 7.2, 0.1, 0.0, 21.3, 29.8, 22.0, 21.1, 25.1, 24.9, 20.5, 18.9, 18.2, 0
